,base,clouds: all,cod,coord: lat,coord: lon,dt,id,main: grnd_level,main: humidity,main: pressure,main: sea_level,main: temp,main: temp_max,main: temp_min,name,rain: 3h,sys: country,sys: id,sys: message,sys: sunrise,sys: sunset,sys: type,visibility,weather: description,weather: icon,weather: id,weather: main,wind: deg,wind: gust,wind: speed
25,stations,0,200,40.34,-1.11,1533441600,3108126,1001.47,53,1017.0,1022.53,75.2,75.2,75.2,Teruel,0.1,ES,5473,0.0137,1533445548,1533496466,1,10000,clear sky,01n,800,Clear,190.0,12.3,4.7
26,stations,0,200,45.07,37.77,1533441600,477039,1001.47,88,1012.0,1022.53,73.4,73.4,73.4,Pavlovskiy,0.1,RU,7294,0.0035,1533435513,1533487831,1,10000,clear sky,01d,800,Clear,6.50092,12.3,2.53
27,stations,92,200,-33.86,121.89,1533444229,2071860,1017.85,86,1017.85,1029.91,50.62,50.62,50.62,Esperance,0.715,AU,7294,0.0029,1533422493,1533460543,1,10000,light rain,10d,500,Rain,231.501,12.3,17.29
28,stations,20,200,-20.52,57.52,1533441600,933995,1017.85,69,1025.0,1029.91,73.4,73.4,73.4,Souillac,0.715,MU,6729,0.0088,1533436705,1533477218,1,10000,few clouds,02d,801,Clouds,160.0,12.3,9.17
29,stations,90,200,60.79,-161.76,1533441180,5880568,1017.85,77,1013.0,1029.91,60.8,60.8,60.8,Bethel,0.715,US,28,0.0061,1533479611,1533539437,1,16093,overcast clouds,04n,804,Clouds,180.0,12.3,14.99
30,stations,75,200,58.3,-134.42,1533441360,5554072,1017.85,87,1017.0,1029.91,63.88,66.2,60.8,Juneau,0.715,US,86,0.0036,1533473917,1533532026,1,16093,broken clouds,04n,803,Clouds,240.0,12.3,6.93
31,stations,80,200,-15.94,-5.72,1533444107,3370903,1032.93,100,1032.93,1032.95,67.18,67.18,67.18,Jamestown,0.715,SH,86,0.0028,1533451511,1533492762,1,16093,broken clouds,04n,803,Clouds,131.001,12.3,8.12
32,stations,0,200,-9.8,-139.03,1533444231,4020109,1025.06,100,1025.06,1025.17,79.51,79.51,79.51,Atuona,0.715,PF,86,0.0037,1533483031,1533525222,1,16093,clear sky,01n,800,Clear,92.5009,12.3,18.07
33,stations,20,200,-53.16,-70.91,1533441600,3874787,1025.06,69,1001.0,1025.17,33.8,33.8,33.8,Punta Arenas,0.715,CL,4642,0.0081,1533471520,1533504071,1,10000,few clouds,02n,801,Clouds,270.0,12.3,14.99
34,stations,44,200,78.22,15.64,1533444043,2729907,992.96,99,992.96,1027.76,39.82,39.82,39.82,Longyearbyen,0.715,SJ,4642,0.004,0,0,1,10000,scattered clouds,03d,802,Clouds,71.5009,12.3,2.53
35,stations,76,200,-34.0,24.73,1533444231,986717,1021.9,100,1021.9,1031.61,55.03,55.03,55.03,Kruisfontein,0.715,ZA,4642,0.0043,1533445811,1533483859,1,10000,broken clouds,04n,803,Clouds,290.501,12.3,5.66
36,stations,0,200,48.94,-125.55,1533444232,6171633,979.83,90,979.83,1029.95,57.73,57.73,57.73,Ucluelet,0.715,CA,4642,0.0035,1533474071,1533527651,1,10000,clear sky,01n,800,Clear,272.001,12.3,1.86
37,stations,0,200,55.61,37.97,1533441600,515873,979.83,72,1009.0,1029.95,66.63,68.0,66.2,Oktyabrskiy,0.715,RU,7322,0.0053,1533433280,1533489936,1,10000,clear sky,01d,800,Clear,280.0,12.3,6.71
38,stations,20,200,42.65,-73.75,1533442440,5106834,979.83,88,1020.0,1029.95,64.83,68.0,62.6,Albany,0.715,US,2088,0.0041,1533462669,1533514205,1,16093,mist,50n,701,Mist,266.501,12.3,2.19
39,stations,75,200,50.7,-127.42,1533441600,6111862,979.83,72,1015.0,1029.95,62.6,62.6,62.6,Port Hardy,0.715,CA,3322,0.004,1533474175,1533528440,1,32186,broken clouds,04n,803,Clouds,330.0,12.3,6.93
40,stations,75,200,-33.93,18.42,1533441600,3369157,979.83,93,1018.0,1029.95,51.8,51.8,51.8,Cape Town,0.715,ZA,6529,0.0042,1533447318,1533485381,1,10000,broken clouds,04n,803,Clouds,30.0,12.3,6.93
41,stations,92,200,-35.02,117.88,1533444234,2077963,1022.23,72,1022.23,1035.3,52.87,52.87,52.87,Albany,0.715,AU,6529,0.0038,1533423579,1533461383,1,10000,overcast clouds,04d,804,Clouds,208.001,12.3,17.85
42,stations,56,200,-1.7,-77.97,1533444234,3653523,858.48,98,858.48,1024.56,59.35,59.35,59.35,Palora,0.715,EC,6529,0.0034,1533467787,1533511155,1,10000,broken clouds,04n,803,Clouds,312.501,12.3,2.42
43,stations,90,200,69.44,-133.03,1533441600,6170031,858.48,72,1006.0,1024.56,59.0,59.0,59.0,Tuktoyaktuk,0.715,CA,3555,0.0042,1533467085,1533537987,1,24140,overcast clouds,04n,804,Clouds,140.0,12.3,8.05
44,stations,92,200,-42.48,-73.76,1533444235,3896218,1006.01,97,1006.01,1020.83,50.8,50.8,50.8,Castro,2.445,CL,3555,0.004,1533470432,1533506517,1,24140,light rain,10n,500,Rain,293.501,12.3,7.45
45,stations,90,200,19.71,-155.08,1533442200,5855927,1006.01,88,1015.0,1020.83,69.91,75.2,66.2,Hilo,2.445,US,818,0.0037,1533484663,1533531273,1,12874,heavy intensity rain,10n,502,Rain,60.0,10.8,5.82
46,stations,75,200,33.08,-16.33,1533441600,2270385,1006.01,83,1018.0,1020.83,70.57,71.6,69.8,Camacha,2.445,PT,5960,0.0044,1533450083,1533499246,1,10000,broken clouds,04n,803,Clouds,350.0,10.8,17.22
47,stations,8,200,65.61,-37.64,1533444236,3424607,1025.15,100,1025.15,1027.88,42.79,42.79,42.79,Tasiilaq,2.445,GL,5960,0.0032,1533447382,1533512035,1,10000,clear sky,02n,800,Clear,228.001,10.8,2.08
48,stations,68,200,-33.64,115.35,1533444236,2075265,1036.98,100,1036.98,1038.05,59.17,59.17,59.17,Busselton,2.445,AU,5960,0.0043,1533424039,1533462137,1,10000,broken clouds,04d,803,Clouds,199.001,10.8,19.75
49,stations,20,200,-0.02,109.34,1533441600,1630789,1036.98,58,1011.0,1038.05,86.0,86.0,86.0,Pontianak,2.445,ID,8063,0.0111,1533422713,1533466325,1,10000,few clouds,02d,801,Clouds,140.0,10.8,9.17
50,stations,32,200,-0.74,-90.35,1533444237,3652764,1018.82,100,1018.82,1026.1,69.25,69.25,69.25,Puerto Ayora,2.445,EC,8063,0.0036,1533470688,1533514195,1,10000,scattered clouds,03n,802,Clouds,161.501,10.8,12.59
51,stations,68,200,-46.6,168.33,1533444237,2206939,1027.66,100,1027.66,1028.89,47.83,47.83,47.83,Bluff,2.445,NZ,8063,0.0043,1533412979,1533447778,1,10000,broken clouds,04d,803,Clouds,227.501,10.8,1.74
52,stations,20,200,-23.87,35.38,1533441600,1045114,1027.66,94,1019.0,1028.89,68.0,68.0,68.0,Inhambane,2.445,MZ,6849,0.0031,1533442298,1533482253,1,10000,few clouds,02n,801,Clouds,20.0,10.8,8.05
53,stations,36,200,-22.97,-42.02,1533444237,3471451,1027.33,100,1027.33,1028.29,67.0,67.0,67.0,Arraial do Cabo,2.445,BR,6849,0.0039,1533460789,1533500911,1,10000,scattered clouds,03n,802,Clouds,261.001,10.8,3.2
54,stations,48,200,72.79,-56.15,1533444238,3418910,1024.01,92,1024.01,1027.11,40.36,40.36,40.36,Upernavik,2.445,GL,6849,0.0038,0,0,1,10000,scattered clouds,03d,802,Clouds,169.501,10.8,8.34
55,stations,0,200,60.35,102.28,1533443671,2013727,981.61,63,981.61,1021.19,67.36,67.36,67.36,Vanavara,2.445,RU,6849,0.0033,1533416301,1533476021,1,10000,clear sky,01d,800,Clear,150.501,10.8,8.79
56,stations,90,200,56.02,-5.45,1533442800,2657126,981.61,93,1023.0,1021.19,55.4,55.4,55.4,Ardrishaig,2.445,GB,5121,0.0039,1533443602,1533500452,1,10000,overcast clouds,04n,804,Clouds,230.0,10.8,9.17
57,stations,68,200,37.31,120.83,1533444239,1797438,1001.72,58,1001.72,1018.52,90.4,90.4,90.4,Qixia,2.445,CN,5121,0.0065,1533416656,1533466835,1,10000,broken clouds,04d,803,Clouds,192.001,10.8,9.01
58,stations,20,200,-2.88,108.27,1533444239,1636426,1019.31,66,1019.31,1023.46,87.34,87.34,87.34,Manggar,2.445,ID,5121,0.0042,1533423180,1533466374,1,10000,few clouds,02d,801,Clouds,139.001,10.8,13.04
59,stations,100,200,-37.62,-73.65,1533444239,3883457,1028.47,97,1028.47,1032.06,53.5,53.5,53.5,Lebu,0.815,CL,5121,0.0034,1533469804,1533507088,1,10000,light rain,10n,500,Rain,333.501,10.8,19.08
60,stations,92,200,60.72,-46.03,1533441000,3420846,1028.47,87,1013.0,1032.06,44.6,44.6,44.6,Qaqortoq,0.815,GL,4791,0.0042,1533451815,1533511688,1,10000,light intensity shower rain,09n,520,Rain,40.0,10.8,4.7
61,stations,92,200,-33.69,-53.46,1533444240,3443061,1028.47,98,1028.47,1029.99,51.52,51.52,51.52,Chuy,0.12,UY,4791,0.0032,1533464533,1533502665,1,10000,light rain,10n,500,Rain,236.501,10.8,15.73
62,stations,64,200,-0.6,73.08,1533444241,1282256,1027.66,100,1027.66,1027.8,83.92,83.92,83.92,Hithadhoo,0.12,MV,4791,0.0035,1533431458,1533474985,1,10000,broken clouds,04d,803,Clouds,197.001,10.8,7.67
63,stations,90,200,61.6,-149.11,1533441360,5871146,1027.66,64,1013.0,1027.8,69.44,69.8,68.0,Palmer,0.12,US,32,0.0042,1533476244,1533536726,1,16093,overcast clouds,04n,804,Clouds,179.001,10.8,2.42
64,stations,0,200,-21.15,149.2,1533441600,2159220,1027.66,69,1016.0,1027.8,75.2,75.2,75.2,Mackay,0.12,AU,8172,0.0035,1533414762,1533455158,1,10000,clear sky,01d,800,Clear,70.0,10.8,10.29
65,stations,0,200,17.15,42.62,1533441600,102651,1027.66,66,1007.0,1027.8,91.4,91.4,91.4,Sabya,0.12,SA,6983,0.0035,1533437417,1533483633,1,10000,clear sky,01d,800,Clear,270.0,10.8,9.17
66,stations,48,200,39.23,106.34,1533444242,1794971,848.11,66,848.11,1016.33,79.51,79.51,79.51,Shitanjing,3.72,CN,6983,0.0033,1533419891,1533470552,1,10000,moderate rain,10d,501,Rain,207.501,10.8,2.64
67,stations,20,200,34.7,138.93,1533441600,1852357,848.11,74,1004.0,1016.33,87.8,87.8,87.8,Shimoda,3.72,JP,7616,0.0049,1533412620,1533462187,1,10000,few clouds,02d,801,Clouds,210.0,10.8,19.46
68,stations,90,200,64.73,177.51,1533441600,2127202,848.11,93,1005.0,1016.33,48.2,48.2,48.2,Anadyr,3.72,RU,7238,0.0044,1533396155,1533460012,1,10000,light rain,10d,500,Rain,90.0,10.8,13.42
69,stations,40,200,20.89,-156.47,1533441360,5847411,848.11,83,1014.0,1016.33,77.54,78.8,75.2,Kahului,3.72,US,823,0.0077,1533484897,1533531706,1,16093,scattered clouds,03n,802,Clouds,60.0,12.9,21.92
70,stations,0,200,37.86,112.56,1533441600,1793511,848.11,58,1011.0,1016.33,84.2,84.2,84.2,Taiyuan,3.72,CN,7410,0.0052,1533418573,1533468887,1,10000,clear sky,01d,800,Clear,80.0,12.9,13.42
71,stations,88,200,-33.02,27.91,1533444243,1006984,1025.79,100,1025.79,1030.27,60.88,60.88,60.88,East London,1.53,ZA,7410,0.0046,1533444947,1533483196,1,10000,light rain,10n,500,Rain,238.501,12.9,24.34
72,stations,0,200,43.18,70.46,1533444244,1519938,935.0,25,935.0,1021.4,86.53,86.53,86.53,Karatau,1.53,KZ,7410,0.0036,1533427955,1533479703,1,10000,clear sky,01d,800,Clear,57.5009,12.9,9.8
